,blurb,id,image.full,image.group,image.h,image.sprite,image.w,image.x,image.y,info.attack,info.defense,info.difficulty,info.magic,key,name,partype,stats.armor,stats.armorperlevel,stats.attackdamage,stats.attackdamageperlevel,stats.attackrange,stats.attackspeed,stats.attackspeedperlevel,stats.crit,stats.critperlevel,stats.hp,stats.hpperlevel,stats.hpregen,stats.hpregenperlevel,stats.movespeed,stats.mp,stats.mpperlevel,stats.mpregen,stats.mpregenperlevel,stats.spellblock,stats.spellblockperlevel,tags,title,version
0,"Once honored defenders of Shurima against the Void, Aatrox and his brethren would eventually become an even greater threat to Runeterra, and were defeated only by cunning mortal sorcery. But after centuries of imprisonment, Aatrox was the first to find...",Aatrox,Aatrox.png,champion,48,champion0.png,48,0,0,8,4,4,3,266,Aatrox,Blood Well,38.0,3.25,60.0,5.0,175,0.651,2.5,0,0,580.0,90,3.0,1.0,345,0.0,0.0,0.0,0.0,32.1,1.25,"['Fighter', 'Tank']",the Darkin Blade,10.14.1
0,"Innately connected to the latent power of Runeterra, Ahri is a vastaya who can reshape magic into orbs of raw energy. She revels in toying with her prey by manipulating their emotions before devouring their life essence. Despite her predatory nature...",Ahri,Ahri.png,champion,48,champion0.png,48,48,0,3,4,5,8,103,Ahri,Mana,20.88,3.5,53.04,3.0,550,0.668,2.0,0,0,526.0,92,6.5,0.6,330,418.0,25.0,8.0,0.8,30.0,0.5,"['Mage', 'Assassin']",the Nine-Tailed Fox,10.14.1
0,"Abandoning the Kinkou Order and her title of the Fist of Shadow, Akali now strikes alone, ready to be the deadly weapon her people need. Though she holds onto all she learned from her master Shen, she has pledged to defend Ionia from its enemies, one...",Akali,Akali.png,champion,48,champion0.png,48,96,0,5,3,7,8,84,Akali,Energy,23.0,3.5,62.4,3.3,125,0.625,3.2,0,0,575.0,95,8.0,0.5,345,200.0,0.0,50.0,0.0,37.0,1.25,['Assassin'],the Rogue Assassin,10.14.1
0,"Always a mighty warrior with a fearsome reputation, Alistar seeks revenge for the death of his clan at the hands of the Noxian empire. Though he was enslaved and forced into the life of a gladiator, his unbreakable will was what kept him from truly...",Alistar,Alistar.png,champion,48,champion0.png,48,144,0,6,9,7,5,12,Alistar,Mana,44.0,3.5,62.0,3.75,125,0.625,2.125,0,0,600.0,106,8.5,0.85,330,350.0,40.0,8.5,0.8,32.1,1.25,"['Tank', 'Support']",the Minotaur,10.14.1
0,"Legend claims that Amumu is a lonely and melancholy soul from ancient Shurima, roaming the world in search of a friend. Doomed by an ancient curse to remain alone forever, his touch is death, his affection ruin. Those who claim to have seen him describe...",Amumu,Amumu.png,champion,48,champion0.png,48,192,0,2,6,3,8,32,Amumu,Mana,33.0,3.8,53.38,3.8,125,0.736,2.18,0,0,613.12,84,9.0,0.85,335,287.2,40.0,7.382,0.525,32.1,1.25,"['Tank', 'Mage']",the Sad Mummy,10.14.1
0,"Anivia is a benevolent winged spirit who endures endless cycles of life, death, and rebirth to protect the Freljord. A demigod born of unforgiving ice and bitter winds, she wields those elemental powers to thwart any who dare disturb her homeland...",Anivia,Anivia.png,champion,48,champion0.png,48,240,0,1,4,10,10,34,Anivia,Mana,21.22,4.0,51.376,3.2,600,0.625,1.68,0,0,480.0,82,5.5,0.55,325,495.0,25.0,8.0,0.8,30.0,0.5,"['Mage', 'Support']",the Cryophoenix,10.14.1
0,"Dangerous, yet disarmingly precocious, Annie is a child mage with immense pyromantic power. Even in the shadows of the mountains north of Noxus, she is a magical outlier. Her natural affinity for fire manifested early in life through unpredictable...",Annie,Annie.png,champion,48,champion0.png,48,288,0,2,3,6,10,1,Annie,Mana,19.22,4.0,50.41,2.625,625,0.579,1.36,0,0,524.0,88,5.5,0.55,335,418.0,25.0,8.0,0.8,30.0,0.5,['Mage'],the Dark Child,10.14.1
0,"Emerging from moonlight's shadow with weapons drawn, Aphelios kills the enemies of his faith in brooding silence—speaking only through the certainty of his aim, and the firing of each gun. Though fueled by a poison that renders him mute, he is guided by...",Aphelios,Aphelios.png,champion,48,champion0.png,48,336,0,6,2,10,1,523,Aphelios,Mana,28.0,3.0,57.0,2.0,550,0.64,2.1,0,0,530.0,88,3.25,0.55,325,348.0,42.0,6.5,0.4,26.0,0.5,['Marksman'],the Weapon of the Faithful,10.14.1
0,"Iceborn warmother of the Avarosan tribe, Ashe commands the most populous horde in the north. Stoic, intelligent, and idealistic, yet uncomfortable with her role as leader, she taps into the ancestral magics of her lineage to wield a bow of True Ice...",Ashe,Ashe.png,champion,48,champion0.png,48,384,0,7,3,4,2,22,Ashe,Mana,26.0,3.4,61.0,2.96,600,0.658,3.33,0,0,570.0,87,3.5,0.55,325,280.0,32.0,6.972,0.4,30.0,0.5,"['Marksman', 'Support']",the Frost Archer,10.14.1
0,"Aurelion Sol once graced the vast emptiness of the cosmos with celestial wonders of his own devising. Now, he is forced to wield his awesome power at the behest of a space-faring empire that tricked him into servitude. Desiring a return to his...",AurelionSol,AurelionSol.png,champion,48,champion0.png,48,432,0,2,3,7,8,136,Aurelion Sol,Mana,19.0,3.6,57.0,3.2,550,0.625,1.36,0,0,575.0,92,7.0,0.6,325,350.0,50.0,6.0,0.8,30.0,0.5,['Mage'],The Star Forger,10.14.1
0,"Azir was a mortal emperor of Shurima in a far distant age, a proud man who stood at the cusp of immortality. His hubris saw him betrayed and murdered at the moment of his greatest triumph, but now, millennia later, he has been reborn as an Ascended...",Azir,Azir.png,champion,48,champion0.png,48,0,48,6,3,9,8,268,Azir,Mana,19.04,3.0,52.0,2.8,525,0.625,3.0,0,0,552.0,92,7.0,0.75,335,480.0,21.0,8.0,0.8,30.0,0.5,"['Mage', 'Marksman']",the Emperor of the Sands,10.14.1
0,"A traveler from beyond the stars, Bard is an agent of serendipity who fights to maintain a balance where life can endure the indifference of chaos. Many Runeterrans sing songs that ponder his extraordinary nature, yet they all agree that the cosmic...",Bard,Bard.png,champion,48,champion0.png,48,48,48,4,4,9,5,432,Bard,Mana,34.0,4.0,52.0,3.0,500,0.625,2.0,0,0,575.0,89,5.5,0.55,330,350.0,50.0,6.0,0.45,30.0,0.5,"['Support', 'Mage']",the Wandering Caretaker,10.14.1
0,"Blitzcrank is an enormous, near-indestructible automaton from Zaun, originally built to dispose of hazardous waste. However, he found this primary purpose too restricting, and modified his own form to better serve the fragile people of the Sump...",Blitzcrank,Blitzcrank.png,champion,48,champion0.png,48,96,48,4,8,4,5,53,Blitzcrank,Mana,37.0,3.5,61.54,3.5,125,0.625,1.13,0,0,582.6,95,8.5,0.75,325,267.2,40.0,8.5,0.8,32.1,1.25,"['Tank', 'Fighter']",the Great Steam Golem,10.14.1
0,"Once a tribesman of the icy Freljord named Kegan Rodhe, the creature known as Brand is a lesson in the temptation of greater power. Seeking one of the legendary World Runes, Kegan betrayed his companions and seized it for himself—and, in an instant, the...",Brand,Brand.png,champion,48,champion0.png,48,144,48,2,2,4,9,63,Brand,Mana,21.88,3.5,57.04,3.0,550,0.625,1.36,0,0,519.68,88,5.5,0.55,340,469.0,21.0,10.665,0.6,30.0,0.5,['Mage'],the Burning Vengeance,10.14.1
0,"Blessed with massive biceps and an even bigger heart, Braum is a beloved hero of the Freljord. Every mead hall north of Frostheld toasts his legendary strength, said to have felled a forest of oaks in a single night, and punched an entire mountain into...",Braum,Braum.png,champion,48,champion0.png,48,192,48,3,9,3,4,201,Braum,Mana,47.0,4.0,55.376,3.2,125,0.644,3.5,0,0,540.0,98,8.5,1.0,335,310.6,45.0,6.0,0.8,32.1,1.25,"['Support', 'Tank']",the Heart of the Freljord,10.14.1
0,"Renowned as its finest peacekeeper, Caitlyn is also Piltover's best shot at ridding the city of its elusive criminal elements. She is often paired with Vi, acting as a cool counterpoint to her partner's more impetuous nature. Even though she carries a...",Caitlyn,Caitlyn.png,champion,48,champion0.png,48,240,48,8,2,6,2,51,Caitlyn,Mana,28.0,3.5,62.0,2.88,650,0.681,4.0,0,0,510.0,93,3.5,0.55,325,313.7,35.0,7.4,0.55,30.0,0.5,['Marksman'],the Sheriff of Piltover,10.14.1
0,"Weaponized to operate outside the boundaries of the law, Camille is the Principal Intelligencer of Clan Ferros—an elegant and elite agent who ensures the Piltover machine and its Zaunite underbelly runs smoothly. Adaptable and precise, she views sloppy...",Camille,Camille.png,champion,48,champion0.png,48,288,48,8,6,4,3,164,Camille,Mana,35.0,3.8,68.0,3.5,125,0.644,2.5,0,0,575.6,85,8.5,0.8,340,338.8,32.0,8.15,0.75,32.1,1.25,"['Fighter', 'Tank']",the Steel Shadow,10.14.1
0,"Cassiopeia is a deadly creature bent on manipulating others to her sinister will. Youngest and most beautiful daughter of the noble Du Couteau family of Noxus, she ventured deep into the crypts beneath Shurima in search of ancient power. There, she was...",Cassiopeia,Cassiopeia.png,champion,48,champion0.png,48,336,48,2,3,10,9,69,Cassiopeia,Mana,18.0,3.5,53.0,3.0,550,0.647,1.5,0,0,560.0,90,5.5,0.5,328,350.0,40.0,8.0,0.8,32.0,0.5,['Mage'],the Serpent's Embrace,10.14.1
0,"From the moment Cho'Gath first emerged into the harsh light of Runeterra's sun, the beast was driven by the most pure and insatiable hunger. A perfect expression of the Void's desire to consume all life, Cho'Gath's complex biology quickly converts...",Chogath,Chogath.png,champion,48,champion0.png,48,384,48,3,7,5,7,31,Cho'Gath,Mana,38.0,3.5,69.0,4.2,125,0.625,1.44,0,0,574.4,80,9.0,0.85,345,272.2,40.0,7.206,0.45,32.1,1.25,"['Tank', 'Mage']",the Terror of the Void,10.14.1
0,"The yordle pilot Corki loves two things above all others: flying, and his glamorous mustache... though not necessarily in that order. After leaving Bandle City, he settled in Piltover and fell in love with the wondrous machines he found there. He...",Corki,Corki.png,champion,48,champion0.png,48,432,48,8,3,6,6,42,Corki,Mana,28.0,3.5,55.0,2.5,550,0.638,2.3,0,0,518.0,87,5.5,0.55,325,350.16,34.0,7.424,0.55,30.0,0.5,['Marksman'],the Daring Bombardier,10.14.1
0,"There is no greater symbol of Noxian might than Darius, the nation's most feared and battle-hardened commander. Rising from humble origins to become the Hand of Noxus, he cleaves through the empire's enemies—many of them Noxians themselves. Knowing that...",Darius,Darius.png,champion,48,champion0.png,48,0,96,9,5,2,1,122,Darius,Mana,39.0,4.0,64.0,5.0,175,0.625,1.0,0,0,582.24,100,10.0,0.95,340,263.0,37.5,6.6,0.35,32.1,1.25,"['Fighter', 'Tank']",the Hand of Noxus,10.14.1
0,"Bearing her crescent moonblade, Diana fights as a warrior of the Lunari—a faith all but quashed in the lands around Mount Targon. Clad in shimmering armor the color of winter snow at night, she is a living embodiment of the silver moon's power. Imbued...",Diana,Diana.png,champion,48,champion0.png,48,48,96,7,6,4,8,131,Diana,Mana,31.0,3.6,57.0,3.0,150,0.625,2.25,0,0,570.0,95,7.5,0.85,345,375.0,25.0,8.0,0.8,32.1,1.25,"['Fighter', 'Mage']",Scorn of the Moon,10.14.1
0,"In Noxus, warriors known as Reckoners face one another in arenas where blood is spilled and strength tested—but none has ever been as celebrated as Draven. A former soldier, he found that the crowds uniquely appreciated his flair for the dramatic, and...",Draven,Draven.png,champion,48,champion0.png,48,96,96,9,3,8,1,119,Draven,Mana,29.0,3.3,60.0,3.61,550,0.679,2.7,0,0,605.0,90,3.75,0.7,330,360.56,39.0,8.042,0.65,30.0,0.5,['Marksman'],the Glorious Executioner,10.14.1
0,"Utterly insane, unrepentantly homicidal, and horrifyingly purple, Dr. Mundo is what keeps many of Zaun's citizens indoors on particularly dark nights. This monosyllabic monstrosity seems to want nothing more than pain—both the giving of it, and the...",DrMundo,DrMundo.png,champion,48,champion0.png,48,144,96,5,7,5,6,36,Dr. Mundo,None,36.0,3.5,61.27,3.5,125,0.721,2.8,0,0,582.52,89,8.0,0.75,345,0.0,0.0,0.0,0.0,32.1,1.25,"['Fighter', 'Tank']",the Madman of Zaun,10.14.1
0,"A prodigy from the rough streets of Zaun, Ekko manipulates time to twist any situation to his advantage. Using his own invention, the Zero Drive, he explores the branching possibilities of reality to craft the perfect moment. Though he revels in this...",Ekko,Ekko.png,champion,48,champion0.png,48,192,96,5,3,8,7,245,Ekko,Mana,32.0,3.0,58.0,3.0,125,0.688,3.3,0,0,585.0,85,9.0,0.9,340,280.0,50.0,7.0,0.8,32.0,1.25,"['Assassin', 'Fighter']",the Boy Who Shattered Time,10.14.1
0,"Elise is a deadly predator who dwells in a shuttered, lightless palace, deep within the oldest city of Noxus. Once mortal, she was the mistress of a powerful house, but the bite of a vile demigod transformed her into something beautiful, yet utterly...",Elise,Elise.png,champion,48,champion0.png,48,240,96,6,5,9,7,60,Elise,Mana,27.0,3.35,55.0,3.0,550,0.625,1.75,0,0,534.0,93,5.5,0.6,330,324.0,50.0,6.0,0.8,30.0,0.5,"['Mage', 'Fighter']",the Spider Queen,10.14.1
0,"Within the dark seams of Runeterra, the demon Evelynn searches for her next victim. She lures in prey with the voluptuous façade of a human female, but once a person succumbs to her charms, Evelynn's true form is unleashed. She then subjects her victim...",Evelynn,Evelynn.png,champion,48,champion0.png,48,288,96,4,2,10,7,28,Evelynn,Mana,37.0,3.5,61.0,3.0,125,0.667,2.1,0,0,572.0,84,8.5,0.75,335,315.6,42.0,8.108,0.6,32.1,1.25,"['Assassin', 'Mage']",Agony's Embrace,10.14.1
0,"A dashing adventurer, unknowingly gifted in the magical arts, Ezreal raids long-lost catacombs, tangles with ancient curses, and overcomes seemingly impossible odds with ease. His courage and bravado knowing no bounds, he prefers to improvise his way...",Ezreal,Ezreal.png,champion,48,champion0.png,48,336,96,7,2,7,6,81,Ezreal,Mana,22.0,3.5,60.0,2.5,550,0.625,2.5,0,0,530.0,88,4.0,0.55,325,375.0,50.0,8.5,0.65,30.0,0.5,"['Marksman', 'Mage']",the Prodigal Explorer,10.14.1
0,"Something has awoken in Runeterra. Something ancient. Something terrible. The ageless horror known as Fiddlesticks stalks the edges of mortal society, drawn to areas thick with paranoia where it feeds upon terrorized victims. Wielding a jagged scythe...",Fiddlesticks,Fiddlesticks.png,champion,48,champion0.png,48,384,96,2,3,9,9,9,Fiddlesticks,Mana,34.0,3.5,55.36,2.625,480,0.625,2.11,0,0,580.4,92,5.5,0.6,335,500.0,28.0,8.0,0.8,30.0,0.5,"['Mage', 'Support']",the Ancient Fear,10.14.1
0,"The most feared duelist in all Valoran, Fiora is as renowned for her brusque manner and cunning mind as she is for the speed of her bluesteel rapier. Born to House Laurent in the kingdom of Demacia, Fiora took control of the family from her father in...",Fiora,Fiora.png,champion,48,champion0.png,48,432,96,10,4,3,2,114,Fiora,Mana,33.0,3.5,68.0,3.3,150,0.69,3.2,0,0,550.0,85,8.5,0.55,345,300.0,40.0,8.0,0.7,32.1,1.25,"['Fighter', 'Assassin']",the Grand Duelist,10.14.1
0,"Fizz is an amphibious yordle, who dwells among the reefs surrounding Bilgewater. He often retrieves and returns the tithes cast into the sea by superstitious captains, but even the saltiest of sailors know better than to cross him—for many are the tales...",Fizz,Fizz.png,champion,48,champion1.png,48,0,0,6,4,6,7,105,Fizz,Mana,22.412,3.4,58.04,3.0,175,0.658,3.1,0,0,570.0,98,8.0,0.7,335,317.2,37.0,6.0,0.8,32.1,1.25,"['Assassin', 'Fighter']",the Tidal Trickster,10.14.1
